Team,OffRating,DefRating,Source
Pacific,100,100,Sports-Reference
Penn State,100,100,Sports-Reference
Pennsylvania,100,100,Sports-Reference
Pepperdine,100,100,Sports-Reference
Phillips Haymakers,100,100,Sports-Reference
Pittsburg State Gorillas,100,100,Sports-Reference
Pittsburgh,100,100,Sports-Reference
Portland,100,100,Sports-Reference
Portland State,100,100,Sports-Reference
Prairie View,100,100,Sports-Reference
Prairie View A&M,100,100,NCAA Hardcoded
Pratt Institute Cannoneers,100,100,Sports-Reference
Presbyterian,100,100,Sports-Reference
Princeton,100,100,Sports-Reference
Providence,100,100,Sports-Reference
Purdue,100,100,Sports-Reference
Purdue Fort Wayne,100,100,Sports-Reference
Queens,100,100,NCAA Hardcoded
Queens (NC),100,100,Sports-Reference
Queens (NY),100,100,Sports-Reference
Quinnipiac,100,100,Sports-Reference
Radford,100,100,Sports-Reference
Regis (CO) Rangers,100,100,Sports-Reference
Rensselaer Engineers,100,100,Sports-Reference
Rhode Island,100,100,Sports-Reference
Rice,100,100,Sports-Reference
Richmond,100,100,Sports-Reference
Rider,100,100,Sports-Reference
Ripon Red Hawks,100,100,Sports-Reference
Roanoke Maroons,100,100,Sports-Reference
Robert Morris,100,100,Sports-Reference
Rochester (NY) Yellowjackets,100,100,Sports-Reference
Rose-Hulman Fightin' Engineers,100,100,Sports-Reference
Rutgers,100,100,Sports-Reference
Sacramento State,100,100,Sports-Reference
Sacred Heart,100,100,Sports-Reference
Saint Francis,100,100,NCAA Hardcoded
Saint Francis (PA),100,100,Sports-Reference
Saint Joseph's,100,100,Sports-Reference
Saint Louis,100,100,Sports-Reference
Saint Mary's,100,100,NCAA Hardcoded
Saint Mary's (CA),100,100,Sports-Reference
Saint Peter's,100,100,Sports-Reference
Sam Houston,100,100,Sports-Reference
Sam Houston State,100,100,NCAA Hardcoded
Samford,100,100,Sports-Reference
San Diego,100,100,Sports-Reference
San Diego State,100,100,Sports-Reference
San Francisco,100,100,Sports-Reference
San Jose State,100,100,Sports-Reference
Santa Clara,100,100,Sports-Reference
Savage School of Physical Education,100,100,Sports-Reference
Savannah State,100,100,Sports-Reference
Savannah State Tigers,100,100,Sports-Reference
Scranton Royals,100,100,Sports-Reference
Seattle,100,100,Sports-Reference
Seattle University,100,100,NCAA Hardcoded
Seton Hall,100,100,Sports-Reference
Sewanee Tigers,100,100,Sports-Reference
Shiloh,100,100,NCAA Hardcoded
Siena,100,100,Sports-Reference
SIU Edwardsville,100,100,NCAA Hardcoded
SMU,100,100,NCAA Hardcoded
South Alabama,100,100,Sports-Reference
South Carolina,100,100,Sports-Reference
South Carolina State,100,100,Sports-Reference
South Carolina Upstate,100,100,Sports-Reference
South Dakota,100,100,Sports-Reference
South Dakota State,100,100,Sports-Reference
South Florida,100,100,Sports-Reference
Southeast Missouri,100,100,NCAA Hardcoded
Southeast Missouri State,100,100,Sports-Reference
Southeastern Louisiana,100,100,Sports-Reference
Southern,100,100,Sports-Reference
Southern California,100,100,Sports-Reference
Southern Illinois,100,100,Sports-Reference
Southern Illinois-Edwardsville,100,100,Sports-Reference
Southern Indiana,100,100,Sports-Reference
Southern Methodist,100,100,Sports-Reference
Southern Methodist University,100,100,NCAA Hardcoded
Southern Miss,100,100,NCAA Hardcoded
Southern Mississippi,100,100,Sports-Reference
Southern University,100,100,NCAA Hardcoded
Southern Utah,100,100,Sports-Reference
Southwestern (KS) Moundbuilders,100,100,Sports-Reference
Southwestern (TX) Pirates,100,100,Sports-Reference
Southwestern Louisiana,100,100,NCAA Hardcoded
Springfield Pride,100,100,Sports-Reference
St. Bonaventure,100,100,Sports-Reference
St. Francis (NY) Terriers,100,100,Sports-Reference
St. John's,100,100,NCAA Hardcoded
St. John's (NY),100,100,Sports-Reference
St. John's College (OH),100,100,Sports-Reference
St. Joseph's,100,100,NCAA Hardcoded
St. Lawrence Saints,100,100,Sports-Reference
St. Thomas,100,100,Sports-Reference
Stanford,100,100,Sports-Reference
Stephen F. Austin,100,100,Sports-Reference
Stetson,100,100,Sports-Reference
Stevens Institute Ducks,100,100,Sports-Reference
Stonehill,100,100,Sports-Reference
Stony Brook,100,100,Sports-Reference
SUNY Potsdam Bears,100,100,Sports-Reference
Swarthmore Garnet,100,100,Sports-Reference
Syracuse,100,100,Sports-Reference
Tampa,100,100,NCAA Hardcoded
Tarleton State,100,100,Sports-Reference
TCU,100,100,Sports-Reference
Temple,100,100,Sports-Reference
Tennessee,100,100,Sports-Reference
Tennessee State,100,100,Sports-Reference
Tennessee Tech,100,100,Sports-Reference
Tennessee-Martin,100,100,Sports-Reference
Texas,100,100,Sports-Reference
Texas A&amp;M,100,100,Sports-Reference
Texas A&amp;M-Corpus Christi,100,100,Sports-Reference
Texas A&M,100,100,NCAA Hardcoded
Texas A&M-Corpus Christi,100,100,NCAA Hardcoded
Texas Christian,100,100,NCAA Hardcoded
Texas Southern,100,100,Sports-Reference
Texas State,100,100,Sports-Reference
Texas Tech,100,100,Sports-Reference
Texas Wesleyan Rams,100,100,Sports-Reference
Texas-Arlington,100,100,NCAA Hardcoded
Texas-Rio Grande Valley,100,100,Sports-Reference
Texas-San Antonio,100,100,NCAA Hardcoded
The Citadel,100,100,Sports-Reference
The Citadel Military College,100,100,NCAA Hardcoded
Toledo,100,100,Sports-Reference
Towson,100,100,Sports-Reference
Trinity (CT) Bantams,100,100,Sports-Reference
Trinity (TX) Tigers,100,100,Sports-Reference
Troy,100,100,Sports-Reference
Tulane,100,100,Sports-Reference
Tulsa,100,100,Sports-Reference
U.S. International,100,100,Sports-Reference
U.S. International Gulls,100,100,Sports-Reference
UAB,100,100,Sports-Reference
UAlbany,100,100,NCAA Hardcoded
UC Davis,100,100,Sports-Reference
UC Irvine,100,100,Sports-Reference
UC Riverside,100,100,Sports-Reference
UC San Diego,100,100,Sports-Reference
UC Santa Barbara,100,100,Sports-Reference
UCF,100,100,Sports-Reference
UCLA,100,100,Sports-Reference
UConn,100,100,NCAA Hardcoded
ULM,100,100,NCAA Hardcoded
UMBC,100,100,NCAA Hardcoded
UNC Asheville,100,100,Sports-Reference
UNC Greensboro,100,100,Sports-Reference
UNC Wilmington,100,100,Sports-Reference
UNC-Asheville,100,100,NCAA Hardcoded
UNC-Wilmington,100,100,NCAA Hardcoded
UNCG,100,100,NCAA Hardcoded
UNI,100,100,NCAA Hardcoded
Union (NY) Dutchmen,100,100,Sports-Reference
UNLV,100,100,NCAA Hardcoded
USC,100,100,NCAA Hardcoded
UT Arlington,100,100,Sports-Reference
UT Martin,100,100,NCAA Hardcoded
UTA,100,100,NCAA Hardcoded
Utah,100,100,Sports-Reference
Utah State,100,100,Sports-Reference
Utah Tech,100,100,Sports-Reference
Utah Valley,100,100,Sports-Reference
Ute,100,100,NCAA Hardcoded
UTEP,100,100,Sports-Reference
Utica Pioneers,100,100,Sports-Reference
UTRGV,100,100,NCAA Hardcoded
UTSA,100,100,Sports-Reference
Valparaiso,100,100,Sports-Reference
Vanderbilt,100,100,Sports-Reference
VCU,100,100,NCAA Hardcoded
Vermont,100,100,Sports-Reference
Villanova,100,100,Sports-Reference
Virginia,100,100,Sports-Reference
Virginia Commonwealth,100,100,Sports-Reference
Virginia Military Institute,100,100,Sports-Reference
Virginia Tech,100,100,Sports-Reference
Wabash Little Giants,100,100,Sports-Reference
Wagner,100,100,Sports-Reference
Wake Forest,100,100,Sports-Reference
Washburn Ichabods,100,100,Sports-Reference
Washington,100,100,Sports-Reference
Washington (MO) Bears,100,100,Sports-Reference
Washington &amp; Jefferson Presidents,100,100,Sports-Reference
Washington &amp; Lee Generals,100,100,Sports-Reference
Washington College Shoremen,100,100,Sports-Reference
Washington State,100,100,Sports-Reference
Wayne State (MI) Warriors,100,100,Sports-Reference
Weber State,100,100,Sports-Reference
Wesleyan (CT) Cardinals,100,100,Sports-Reference
West Carolina,100,100,NCAA Hardcoded
West Chester,100,100,Sports-Reference
West Chester Golden Rams,100,100,Sports-Reference
West Georgia,100,100,Sports-Reference
West Texas A&amp;M Buffaloes,100,100,Sports-Reference
West Virginia,100,100,Sports-Reference
Western Carolina,100,100,Sports-Reference
Western Colorado Mountaineers,100,100,Sports-Reference
Western Illinois,100,100,Sports-Reference
Western Kentucky,100,100,Sports-Reference
Western Michigan,100,100,Sports-Reference
Westminster (MO) Blue Jays,100,100,Sports-Reference
Westminster (PA) Titans,100,100,Sports-Reference
Wheaton (IL) Thunder,100,100,Sports-Reference
Whittier Poets,100,100,Sports-Reference
Wichita State,100,100,Sports-Reference
Widener Pride,100,100,Sports-Reference
William & Mary,100,100,NCAA Hardcoded
William &amp; Mary,100,100,Sports-Reference
Williams Ephs,100,100,Sports-Reference
Winston-Salem Rams,100,100,Sports-Reference
Winthrop,100,100,Sports-Reference
Wisconsin,100,100,Sports-Reference
Wisconsin-Green Bay,100,100,NCAA Hardcoded
Wisconsin-Milwaukee,100,100,NCAA Hardcoded
Wisconsin-Stevens Point Pointers,100,100,Sports-Reference
Wisconsin-Superior Yellowjackets,100,100,Sports-Reference
Wittenberg Tigers,100,100,Sports-Reference
Wofford,100,100,Sports-Reference
Wooster Fighting Scots,100,100,Sports-Reference
WPI Engineers,100,100,Sports-Reference
Wright State,100,100,Sports-Reference
Wyoming,100,100,Sports-Reference
Xavier,100,100,Sports-Reference
Yale,100,100,Sports-Reference
Youngstown State,100,100,Sports-Reference
